[2016-04-16 14:49:43,383][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-16 14:59:53,074][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-16 14:59:54,341][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-16 14:59:55,178][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-16 14:59:55,335][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-16 14:59:55,632][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-16 14:59:55,858][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-16 14:59:55,868][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-16 14:59:55,899][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-16 14:59:55,899][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-16 14:59:55,899][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-16 14:59:55,899][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-16 14:59:55,900][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-16 15:00:54,293][INFO][luminus.repl-server] nREPL server stopped
[2016-04-16 15:00:54,298][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-16 15:00:54,339][INFO][luminus.http-server] HTTP server stopped
[2016-04-16 15:00:54,340][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-16 15:00:54,357][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-16 15:00:54,358][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-16 15:00:54,358][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
[2016-04-16 15:19:10,394][DEBUG][org.jboss.logging] Logging Provider: org.jboss.logging.Log4jLoggerProvider
[2016-04-16 15:19:11,702][INFO][com.zaxxer.hikari.HikariDataSource] HikariPool-0 - is starting.
[2016-04-16 15:19:12,298][INFO][luminus.http-server] starting HTTP server on port 3000
[2016-04-16 15:19:12,379][INFO][org.xnio] XNIO version 3.4.0.Beta1
[2016-04-16 15:19:12,494][INFO][org.xnio.nio] XNIO NIO Implementation Version 3.4.0.Beta1
[2016-04-16 15:19:12,612][INFO][org.projectodd.wunderboss.web.Web] Registered web context /
[2016-04-16 15:19:12,614][INFO][luminus.repl-server] starting nREPL server on port 7000
[2016-04-16 15:19:12,647][INFO][dotted-line.core] #'dotted-line.config/env started
[2016-04-16 15:19:12,647][INFO][dotted-line.core] #'dotted-line.db.core/*db* started
[2016-04-16 15:19:12,648][INFO][dotted-line.core] #'dotted-line.core/http-server started
[2016-04-16 15:19:12,649][INFO][dotted-line.core] #'dotted-line.core/repl-server started
[2016-04-16 15:19:12,657][INFO][dotted-line.env] 
-=[dotted-line started successfully using the development profile]=-
[2016-04-16 15:25:14,770][INFO][luminus.repl-server] nREPL server stopped
[2016-04-16 15:25:14,777][DEBUG][org.projectodd.wunderboss.WunderBoss] Returning existing component for org.projectodd.wunderboss.web.Web:-1645144552, ignoring options.
[2016-04-16 15:25:14,796][INFO][luminus.http-server] HTTP server stopped
[2016-04-16 15:25:14,798][INFO][com.zaxxer.hikari.pool.HikariPool] HikariPool-0 - is closing down.
[2016-04-16 15:25:14,807][INFO][dotted-line.core] #'dotted-line.core/repl-server stopped
[2016-04-16 15:25:14,808][INFO][dotted-line.core] #'dotted-line.core/http-server stopped
[2016-04-16 15:25:14,808][INFO][dotted-line.core] #'dotted-line.db.core/*db* stopped
